,importance,stddev,p_value,n,p99_high,p99_low
roll_sd_3y_ocf_per_share,-7.868448965653307e-06,9.362533063801506e-06,0.9333003407988563,5,1.1409136016672808e-05,-2.714603394797942e-05
cpi_inflation,-8.036414554357663e-06,2.504178829555972e-05,0.7436597344109501,5,4.3524973660495916e-05,-5.959780276921124e-05
min_int_tcap,-8.057935500049851e-06,2.2793142887403725e-05,0.7632694922798262,5,3.8873460739828145e-05,-5.4989331739927844e-05
roll_sd_3y_interest_cov,-8.20433715724711e-06,4.81035239546945e-06,0.9905603299226503,5,1.7002449111601326e-06,-1.8108919225654352e-05
yoy_ocf_margin,-8.353236934466324e-06,6.375525682097266e-06,0.9785867788461782,5,4.77405856410137e-06,-2.148053243303402e-05
consec_decline_roic,-8.477454150579433e-06,5.626022387112401e-06,0.9859699836776354,5,3.1066037043780028e-06,-2.006151200553687e-05
yoy_ni_per_emp,-8.490925264426075e-06,1.193720875001982e-05,0.9065365538368715,5,1.6087952541623266e-05,-3.306980307047541e-05
accel_altman_z2,-8.520310912474294e-06,4.653934672229338e-06,0.9925353316859409,5,1.062204901858875e-06,-1.8102826726807462e-05
roll_mean_3y_ocf_per_share,-8.53803582678836e-06,1.574386881611776e-05,0.8540063619727382,5,2.3878807668990042e-05,-4.095487932256676e-05
peak_drop_roic,-8.601098093730109e-06,7.79219455591578e-06,0.9654596769875042,5,7.443138196474573e-06,-2.4645334383934792e-05
expmean_roe,-8.68249648506847e-06,1.7800688137732247e-05,0.8316419514402631,5,2.796936642217829e-05,-4.5334359392315234e-05
roll_max_3y_leverage,-8.728379263889252e-06,1.234738699795688e-05,0.9054468760305477,5,1.6695061223928354e-05,-3.415181975170686e-05
accel_altman_z,-8.89167012696479e-06,5.680230310923486e-06,0.9875550391465443,5,2.804002592352796e-06,-2.0587342846282375e-05
leverage,-8.96257472733364e-06,8.694759200712212e-06,0.9587552961420027,5,8.94005464127599e-06,-2.686520409594327e-05
ebitda_margin,-9.022871703101565e-06,1.5279663911765456e-05,0.8714120985671591,5,2.2438167478621836e-05,-4.048391088482496e-05
roll_mean_5y_cash_pct_act,-9.240637635565818e-06,3.098633504427234e-06,0.9986860033660729,5,-2.8605084222837783e-06,-1.5620766848847856e-05
accel_ocf_margin,-9.348763597438748e-06,7.2155904944282315e-06,0.9778773382699771,5,5.508236960648015e-06,-2.420576415552551e-05
accel_accruals_ratio,-9.478321592926164e-06,2.946801255824922e-06,0.99900993740599,5,-3.4108170780609753e-06,-1.5545826107791353e-05
accel_log_mkvalt,-9.547216187621999e-06,9.796347850524364e-06,0.9525854918222044,5,1.0623599436524028e-05,-2.9718031811768025e-05
roll_mean_3y_leverage,-9.78454218401037e-06,9.82174595856863e-06,0.9550748486813656,5,1.043856849563796e-05,-3.0007652863658702e-05
ocf_margin,-1.0030523517778889e-05,1.954861635784248e-05,0.8424002479049546,5,3.0220347753610236e-05,-5.028139478916801e-05
yoy_interest_cov,-1.0207052666388883e-05,5.468140495131659e-06,0.9930066811621984,5,1.0519241908205563e-06,-2.1466029523598322e-05
yoy_altman_z2,-1.0517549683908279e-05,5.7878026468043894e-06,0.9923468753320027,5,1.3996159617957763e-06,-2.2434715329612333e-05
accruals_ratio,-1.0595361977072671e-05,7.870016525567042e-06,0.9802327331821166,5,5.609110824257886e-06,-2.6799834778403228e-05
accel_cash_pct_act,-1.0664501285484463e-05,5.642887963717087e-06,0.9932932474391775,5,9.542830248090636e-07,-2.2283285595777987e-05
accel_ev_to_sales,-1.0821009159922568e-05,4.5031583587317495e-06,0.9971026084684821,5,-1.548943859031051e-06,-2.0093074460814087e-05
accel_capex_intensity,-1.1063240756992165e-05,7.217255470539889e-06,0.9867034533244885,5,3.7971880099209144e-06,-2.5923669523905245e-05
roll_trend_5y_roic,-1.110343623480503e-05,1.3150521015479373e-05,0.9339715802941171,5,1.5973668295583177e-05,-3.8180540765193235e-05
interact_roa_gdp,-1.1123223410525185e-05,1.3182650871996053e-05,0.9338765602861863,5,1.6020036938512676e-05,-3.826648375956305e-05
accel_gross_margin,-1.1329063536247298e-05,2.882048609522769e-06,0.999538007317262,5,-5.394885615094923e-06,-1.7263241457399672e-05
compr_inc_ratio,-1.1423310297820066e-05,4.8473379205895764e-05,0.6869520671444087,5,8.83840474604186e-05,-0.00011123066805605872
roll_sd_3y_cash_pct_act,-1.1480301296118434e-05,1.4806441181310646e-05,0.9210063211009993,5,1.9006365742965306e-05,-4.1966968335202175e-05
yoy_roa,-1.1855713385156008e-05,5.767805192498084e-06,0.9949702954174666,5,2.027722573717141e-08,-2.3731703996049187e-05
yoy_eff_int_rate,-1.223260951384031e-05,8.266918586948885e-06,0.9851550571802542,5,4.789090117644928e-06,-2.9254309145325548e-05
accel_altman_z4,-1.2422358810026957e-05,7.151796578776705e-06,0.9911092292154349,5,2.3032891940076945e-06,-2.714800681406161e-05
roll_trend_5y_accruals_ratio,-1.249611781277693e-05,7.119889928172271e-06,0.9914089629714877,5,2.1638339566664187e-06,-2.7156069582220278e-05
yoy_ebitda_margin,-1.2659748972931872e-05,6.080853547129095e-06,0.9951882830120293,5,-1.3918747306536644e-07,-2.5180310472798376e-05
roll_trend_5y_ocf_per_share,-1.275514306611214e-05,8.439698894118509e-06,0.9860999422568879,5,4.622313605912983e-06,-3.013259973813726e-05
roll_mean_5y_leverage,-1.3236523097059915e-05,2.2176587573710718e-05,0.873551193703002,5,3.2425377230224124e-05,-5.889842342434396e-05
roll_mean_3y_earn_yld,-1.4164790722359655e-05,2.3408808580213466e-05,0.8762720452641152,5,3.403426968841777e-05,-6.236385113313707e-05
roll_mean_3y_roa,-1.4473348971866251e-05,5.418082549022804e-05,0.7087690277148364,5,9.708571957110341e-05,-0.0001260324175148359
roic,-1.4498094448867072e-05,2.7194721614670126e-05,0.8504442005676964,5,4.1496213226735575e-05,-7.049240212446972e-05
peak_drop_ebit_roa,-1.4646270726337285e-05,1.646318072893221e-05,0.941227051130033,5,1.9251645939873254e-05,-4.8544187392547824e-05
interest_cov,-1.5037112460047908e-05,2.256087923293381e-05,0.8948095198775771,5,3.1416049705051665e-05,-6.149027462514749e-05
expvol_quick_ratio,-1.5080971117509278e-05,2.2367668298170277e-05,0.8969327969472618,5,3.097436706245327e-05,-6.113630929747182e-05
yoy_roe,-1.5214072387892408e-05,1.811481111797115e-05,0.9332055354266187,5,2.208457407730723e-05,-5.2512718853092044e-05
roll_sd_3y_accruals_ratio,-1.5844734538217332e-05,1.3995604783183405e-05,0.9677192918055707,5,1.2972409150172422e-05,-4.466187822660709e-05
altman_z,-1.682824020534657e-05,2.9163230159671034e-05,0.8667574018434918,5,4.321925377209242e-05,-7.687573418278556e-05
roll_trend_3y_interest_cov,-1.7737149602936596e-05,1.4207046435373477e-05,0.9753861268683657,5,1.1515355369746716e-05,-4.698965457561991e-05
interact_cov_rate,-1.7990092331165997e-05,1.9633456580922152e-05,0.9450865556415561,5,2.2435466132160666e-05,-5.841565079449266e-05
roll_min_3y_asset_turnover,-1.8166658395668556e-05,1.539136725187477e-05,0.9711876454707966,5,1.3524379507244157e-05,-4.985769629858127e-05
wcap_ratio,-1.9579595021967933e-05,3.122737653093246e-05,0.8832284310749966,5,4.471800486343305e-05,-8.387719490736891e-05
roll_sd_5y_earn_yld,-2.1945736640471834e-05,1.9943968290000256e-05,0.9651730547249747,5,1.9119169723574555e-05,-6.301064300451822e-05
indpro_growth,-2.345413661573037e-05,2.608557559914135e-05,0.9426332336889427,5,3.025642408387145e-05,-7.71646973153322e-05
roll_max_3y_roic,-2.3660840074035682e-05,1.711718195527559e-05,0.9817285529355123,5,1.1583674156473434e-05,-5.89053543045448e-05
roll_min_3y_ocf_per_share,-2.6144202075695233e-05,1.176101619777052e-05,0.9961760961027758,5,-1.9281071699670697e-06,-5.036029698142339e-05
roll_mean_3y_asset_turnover,-2.735074318775954e-05,2.3380774305101183e-05,0.9704687047900455,5,2.079059426308683e-05,-7.549208063860592e-05
hy_spread,-2.923774336329732e-05,3.380907938052078e-05,0.9373614415947704,5,4.037561837233145e-05,-9.88511050989261e-05
roll_max_5y_ocf_per_share,-3.085209065329941e-05,2.5003767313229225e-05,0.9745511555404864,5,2.063101183342986e-05,-8.233519314002869e-05
peak_drop_ocf_per_share,-4.347523469065973e-05,7.130869257219247e-05,0.8777573744723426,5,0.0001033503489063555,-0.00019030081828767494
ebit_roa,-6.699545791741813e-05,5.624143560832175e-05,0.9719113011965554,5,4.880643533936499e-05,-0.00018279735117420124
ocf_per_share,-7.949051401439089e-05,5.4005302807389544e-05,0.984910287467052,5,3.1707150898633026e-05,-0.00019068817892741482
